class,average_wasted_effort,erroneous_matrices
org.apache.commons.io.input.BoundedInputStream,0.5,0.0
org.apache.commons.io.output.LockableFileWriter,0.5,0.0
org.apache.commons.text.beta.StrBuilder,0.5,0.0
org.apache.commons.text.beta.StringEscapeUtils,0.5,0.0
org.jsoup.select.Elements,0.47989130434782606,0.05
com.google.inject.internal.State,0.47717391304347834,0.05
org.apache.commons.io.CopyUtils,0.4770833333333333,0.05
org.apache.commons.io.input.SwappedDataInputStream,0.4766666666666667,0.05
org.apache.commons.io.monitor.FileEntry,0.4617647058823529,0.1
org.apache.commons.io.output.FileWriterWithEncoding,0.45625,1.0
org.apache.commons.io.filefilter.FileFilterUtils,0.4541666666666667,0.1
org.apache.commons.io.IOCase,0.45384615384615384,0.1
com.google.inject.PrivateModule,0.4527777777777778,0.1
org.jsoup.helper.HttpConnection,0.45175,0.1
com.google.inject.Scopes,0.4444444444444445,0.15
org.jsoup.parser.Parser,0.4352941176470588,0.15
org.apache.commons.io.IOUtils,0.4279069767441861,0.15
org.apache.commons.io.input.Tailer,0.42749999999999994,0.2
org.jsoup.nodes.TextNode,0.425,0.2
com.google.inject.internal.InternalInjectorCreator,0.4241071428571429,0.2
org.jsoup.Jsoup,0.42000000000000004,0.2
org.apache.commons.csv.CSVRecord,0.4088235294117647,0.2
org.apache.commons.io.FilenameUtils,0.40576923076923077,0.2
org.jsoup.nodes.Entities,0.39673913043478265,0.25
com.google.inject.internal.ConstantBindingBuilderImpl,0.39,0.8
com.google.inject.internal.Errors,0.38357843137254904,0.3
org.apache.commons.io.EndianUtils,0.38249999999999995,0.25
org.apache.commons.io.input.NullInputStream,0.3821428571428571,0.3
com.google.inject.multibindings.Multibinder,0.3795454545454545,0.3
org.apache.commons.csv.Token,0.3785714285714286,0.3
org.jsoup.parser.TokenQueue,0.37822580645161297,0.3
org.apache.commons.io.input.compatibility.XmlStreamReader,0.3738095238095238,0.75
com.google.inject.internal.InternalFlags,0.3727272727272727,0.6
org.apache.commons.io.output.ThresholdingOutputStream,0.3704545454545455,0.35
com.google.inject.internal.InterceptorStackCallback,0.36875,0.35
org.apache.commons.io.input.CharSequenceReader,0.36875,0.35
org.apache.commons.io.input.ObservableInputStream,0.36184210526315785,0.4
org.apache.commons.io.input.ProxyReader,0.36153846153846153,0.35
org.apache.commons.io.FileUtils,0.36043478260869566,0.3
com.google.inject.spi.DefaultElementVisitor,0.3583333333333333,0.3
com.google.inject.spi.DefaultBindingTargetVisitor,0.35750000000000004,0.4
org.jsoup.nodes.Element,0.3574468085106383,0.3
org.jsoup.parser.ParseError,0.35625,0.35
org.apache.commons.csv.CSVParser,0.35500000000000004,0.35
org.apache.commons.io.input.NullReader,0.3538461538461538,0.35
org.apache.commons.csv.CSVFormat,0.35233333333333333,0.35
com.google.inject.internal.BytecodeGen,0.34750000000000003,0.6
com.google.inject.internal.Initializer,0.346875,0.45
org.jsoup.parser.Tag,0.34625000000000006,0.35
org.apache.commons.io.FileSystemUtils,0.3416666666666667,0.55
com.google.inject.internal.UntargettedBindingImpl,0.340625,0.4
com.google.inject.Asserts,0.33999999999999997,0.4
com.google.inject.internal.SpiUtils,0.3397727272727272,0.4
com.google.inject.internal.Indexer,0.33815789473684205,0.35
com.google.inject.internal.Annotations,0.3362068965517242,0.65
org.jsoup.nodes.Attribute,0.33404255319148934,0.45
org.apache.commons.io.output.StringBuilderWriter,0.3333333333333333,0.4
com.google.inject.internal.ProxyFactory,0.32954545454545453,0.45
org.jsoup.nodes.Attributes,0.328448275862069,0.45
com.google.inject.internal.ConstructorBindingImpl,0.3273809523809524,0.45
org.apache.commons.io.output.NullWriter,0.31999999999999995,0.5
org.apache.commons.io.monitor.FileAlterationMonitor,0.3194444444444445,0.7
org.apache.commons.text.beta.ExtendedMessageFormat,0.3176470588235294,0.5
org.jsoup.helper.DataUtil,0.3173076923076923,0.45
org.jsoup.parser.TokeniserState,0.3153846153846154,0.55
com.google.inject.Key,0.30859375,0.55
com.google.inject.internal.BindingImpl,0.3083333333333333,0.45
com.google.inject.internal.BindingProcessor,0.30666666666666664,0.45
com.google.inject.multibindings.MapBinder,0.305,0.55
org.apache.commons.io.output.ByteArrayOutputStream,0.30166666666666664,0.5
com.google.inject.internal.CycleDetectingLock,0.29999999999999993,0.8
org.apache.commons.io.monitor.FileAlterationObserver,0.296875,0.65
com.google.inject.internal.TypeConverterBindingProcessor,0.29318181818181815,0.75
org.jsoup.select.QueryParser,0.29250000000000004,0.55
com.google.inject.AbstractModule,0.2885416666666666,0.45
com.google.inject.spi.InjectionPoint,0.2864285714285714,0.8
com.google.inject.spi.ModuleSource,0.2861111111111111,0.6
com.google.inject.internal.InstanceBindingImpl,0.285,0.5
com.google.inject.internal.ProvisionListenerCallbackStore,0.284375,1.0
org.apache.commons.io.serialization.ValidatingObjectInputStream,0.28409090909090906,0.5
com.google.inject.internal.LinkedProviderBindingImpl,0.2818181818181819,0.55
org.jsoup.parser.XmlTreeBuilder,0.28055555555555556,0.65
com.google.inject.util.Types,0.2795454545454545,0.55
com.google.inject.internal.MembersInjectorStore,0.278125,1.0
com.google.inject.internal.WeakKeySet,0.278125,0.7
org.apache.commons.text.beta.StrMatcher,0.278125,0.5
org.apache.commons.io.input.XmlStreamReader,0.27738095238095234,0.65
org.jsoup.nodes.Document,0.2767045454545455,0.5
com.google.inject.internal.RealMapBinder,0.27192307692307693,0.7
org.apache.commons.io.output.WriterOutputStream,0.259375,0.9
org.jsoup.nodes.Node,0.2580188679245282,0.55
org.apache.commons.text.beta.StrSubstitutor,0.25666666666666665,0.75
com.google.inject.internal.util.LineNumbers,0.25,0.6
com.google.inject.internal.InjectorShell,0.24868421052631576,0.95
org.apache.commons.io.input.CharSequenceInputStream,0.24749999999999997,0.75
org.apache.commons.text.beta.AlphabetConverter,0.24423076923076925,0.9
org.apache.commons.io.monitor.CollectionFileListener,0.24166666666666664,0.95
org.jsoup.parser.Token,0.24073275862068969,0.65
com.google.inject.internal.InternalProviderInstanceBindingImpl,0.24038461538461542,0.7
com.google.inject.util.Providers,0.2375,0.65
com.google.inject.internal.BindingBuilder,0.23499999999999993,0.65
com.google.inject.internal.EncounterImpl,0.2339285714285714,0.8
com.google.inject.util.Modules,0.23375000000000004,0.7
com.google.inject.matcher.Matchers,0.23125,0.8
com.google.inject.spi.Elements,0.2299019607843137,0.6
com.google.inject.internal.ProviderMethodsModule,0.22884615384615387,0.95
org.jsoup.parser.HtmlTreeBuilder,0.22578125,0.75
com.google.inject.internal.MembersInjectorImpl,0.225,0.85
com.google.inject.internal.RealOptionalBinder,0.2244318181818182,0.85
org.apache.commons.io.DirectoryWalker,0.22166666666666668,0.8
org.apache.commons.io.FileCleaningTracker,0.2204545454545454,0.75
com.google.inject.internal.LinkedBindingImpl,0.2194444444444444,0.65
org.apache.commons.csv.CSVPrinter,0.21818181818181817,0.7
com.google.inject.internal.ProviderMethod,0.21666666666666665,0.8
org.apache.commons.io.input.ProxyInputStream,0.2145833333333333,0.65
com.google.inject.internal.util.StackTraceElements,0.21333333333333332,0.8
com.google.inject.spi.Message,0.20750000000000002,0.75
org.apache.commons.io.output.ProxyOutputStream,0.20625,0.85
org.apache.commons.csv.Lexer,0.2039473684210526,1.0
com.google.inject.internal.ConstructionContext,0.2,1.0
com.google.inject.internal.PrivateElementsImpl,0.19999999999999993,0.9
com.google.inject.internal.InjectorImpl,0.19923076923076924,0.75
org.jsoup.safety.Cleaner,0.19444444444444442,0.95
org.apache.commons.text.beta.StrTokenizer,0.19056603773584907,0.8
org.apache.commons.io.output.ProxyWriter,0.19038461538461537,0.7
com.google.inject.TypeLiteral,0.19027777777777777,0.9
com.google.inject.internal.AbstractBindingProcessor,0.19,1.0
org.apache.commons.io.monitor.FileAlterationListenerAdaptor,0.1875,0.95
org.apache.commons.io.input.BOMInputStream,0.18666666666666668,0.8
org.jsoup.parser.HtmlTreeBuilderState,0.18529411764705878,0.8
org.jsoup.safety.Whitelist,0.18409090909090914,0.8
org.jsoup.helper.StringUtil,0.18124999999999997,0.75
com.google.inject.internal.ConstructorInjector,0.175,1.0
com.google.inject.internal.ProviderInstanceBindingImpl,0.17045454545454544,0.75
org.jsoup.parser.Tokeniser,0.1701219512195122,0.8
com.google.inject.internal.RealMultibinder,0.1651515151515151,1.0
com.google.inject.internal.AbstractBindingBuilder,0.16363636363636364,0.85
com.google.inject.spi.ProviderLookup,0.1604166666666667,0.9
com.google.inject.spi.MembersInjectorLookup,0.15749999999999997,0.95
com.google.inject.internal.RealElement,0.15625,1.0
org.jsoup.parser.CharacterReader,0.14785714285714285,0.9
org.jsoup.helper.Validate,0.14545454545454542,0.95
com.google.inject.internal.MoreTypes,0.14351851851851855,1.0
com.google.inject.internal.Scoping,0.14285714285714285,0.95
com.google.inject.internal.InternalContext,0.1388888888888889,0.95
com.google.inject.spi.Dependency,0.1365384615384615,0.85
com.google.inject.internal.InheritingState,0.1352272727272727,1.0
org.apache.commons.csv.ExtendedBufferedReader,0.12222222222222223,0.95
