class,percentage
com.google.inject.internal.AbstractBindingProcessor,1.0
com.google.inject.internal.ConstructionContext,1.0
com.google.inject.internal.MembersInjectorStore,1.0
com.google.inject.internal.MoreTypes,1.0
com.google.inject.internal.ProvisionListenerCallbackStore,1.0
com.google.inject.internal.RealElement,1.0
org.apache.commons.csv.Lexer,1.0
org.apache.commons.io.output.FileWriterWithEncoding,1.0
org.apache.commons.io.monitor.CollectionFileListener,0.9949999999999999
com.google.inject.internal.Scoping,0.9799999999999999
com.google.inject.internal.InternalContext,0.9649999999999996
com.google.inject.internal.ProviderMethodsModule,0.9574999999999998
org.apache.commons.io.monitor.FileAlterationListenerAdaptor,0.9549999999999997
com.google.inject.internal.InjectorShell,0.9475
com.google.inject.spi.MembersInjectorLookup,0.9474999999999998
org.apache.commons.csv.ExtendedBufferedReader,0.945
com.google.inject.internal.RealMultibinder,0.9424999999999999
com.google.inject.internal.ConstructorInjector,0.9424999999999997
org.apache.commons.io.output.WriterOutputStream,0.9224999999999998
org.jsoup.safety.Cleaner,0.9174999999999999
org.apache.commons.text.beta.AlphabetConverter,0.9099999999999999
org.apache.commons.io.output.ProxyOutputStream,0.8775000000000001
com.google.inject.internal.AbstractBindingBuilder,0.8725000000000002
com.google.inject.internal.ProviderMethod,0.8699999999999999
com.google.inject.internal.RealMapBinder,0.8699999999999999
com.google.inject.TypeLiteral,0.8674999999999999
com.google.inject.internal.InheritingState,0.85
com.google.inject.internal.PrivateElementsImpl,0.835
org.jsoup.helper.Validate,0.835
com.google.inject.internal.TypeConverterBindingProcessor,0.8175000000000001
com.google.inject.matcher.Matchers,0.8100000000000002
com.google.inject.internal.RealOptionalBinder,0.8074999999999999
org.jsoup.parser.CharacterReader,0.7975000000000001
org.apache.commons.io.input.CharSequenceInputStream,0.7899999999999999
com.google.inject.spi.Message,0.7875000000000001
com.google.inject.internal.BytecodeGen,0.78
com.google.inject.internal.CycleDetectingLock,0.78
org.apache.commons.io.input.XmlStreamReader,0.7750000000000001
com.google.inject.internal.ConstantBindingBuilderImpl,0.7725000000000001
org.apache.commons.io.input.BOMInputStream,0.7725
org.jsoup.safety.Whitelist,0.7725
org.jsoup.parser.HtmlTreeBuilderState,0.7699999999999999
com.google.inject.internal.MembersInjectorImpl,0.7675
org.apache.commons.io.DirectoryWalker,0.7625
com.google.inject.spi.InjectionPoint,0.76
com.google.inject.internal.InternalProviderInstanceBindingImpl,0.7374999999999999
org.jsoup.parser.XmlTreeBuilder,0.7325
org.apache.commons.io.FileCleaningTracker,0.7275
com.google.inject.spi.ProviderLookup,0.725
org.apache.commons.io.monitor.FileAlterationMonitor,0.725
org.jsoup.helper.StringUtil,0.725
org.jsoup.parser.HtmlTreeBuilder,0.7025
org.apache.commons.text.beta.StrSubstitutor,0.7000000000000001
com.google.inject.internal.EncounterImpl,0.6875
com.google.inject.util.Providers,0.6825
org.jsoup.select.QueryParser,0.6825
org.apache.commons.io.output.ByteArrayOutputStream,0.6799999999999999
com.google.inject.internal.Annotations,0.6675000000000001
com.google.inject.internal.ProviderInstanceBindingImpl,0.6625
com.google.inject.internal.LinkedBindingImpl,0.6624999999999999
com.google.inject.internal.InstanceBindingImpl,0.6575
com.google.inject.util.Modules,0.635
com.google.inject.util.Types,0.635
org.jsoup.nodes.Node,0.6325
com.google.inject.internal.BindingBuilder,0.6300000000000001
org.jsoup.parser.Tokeniser,0.6225000000000002
org.jsoup.parser.TokeniserState,0.6225000000000002
org.apache.commons.csv.CSVPrinter,0.62
com.google.inject.spi.Dependency,0.6125
org.apache.commons.text.beta.StrTokenizer,0.6125
org.apache.commons.io.monitor.FileAlterationObserver,0.6100000000000001
com.google.inject.Key,0.5950000000000002
com.google.inject.internal.ConstructorBindingImpl,0.5924999999999999
com.google.inject.internal.InjectorImpl,0.5875
org.apache.commons.csv.CSVParser,0.5849999999999999
com.google.inject.internal.WeakKeySet,0.58
com.google.inject.internal.InternalFlags,0.57
org.jsoup.parser.Token,0.5625000000000001
org.apache.commons.io.input.compatibility.XmlStreamReader,0.5525
org.apache.commons.io.serialization.ValidatingObjectInputStream,0.55
org.apache.commons.io.output.ProxyWriter,0.5475000000000001
com.google.inject.spi.ModuleSource,0.5375
com.google.inject.internal.util.LineNumbers,0.5374999999999999
com.google.inject.internal.LinkedProviderBindingImpl,0.5275000000000001
com.google.inject.internal.Initializer,0.525
org.jsoup.nodes.Attribute,0.525
com.google.inject.multibindings.MapBinder,0.5225000000000001
org.apache.commons.io.input.ObservableInputStream,0.5225000000000001
org.jsoup.nodes.Attributes,0.52
com.google.inject.spi.Elements,0.5149999999999999
org.apache.commons.io.FileSystemUtils,0.5075000000000001
org.apache.commons.text.beta.StrMatcher,0.5025000000000002
org.apache.commons.csv.CSVFormat,0.5025000000000001
com.google.inject.internal.util.StackTraceElements,0.49750000000000016
com.google.inject.internal.BindingImpl,0.49749999999999994
com.google.inject.internal.ProxyFactory,0.49749999999999994
org.apache.commons.io.input.ProxyInputStream,0.49499999999999994
org.apache.commons.io.output.NullWriter,0.4875
org.jsoup.helper.DataUtil,0.4774999999999999
com.google.inject.internal.BindingProcessor,0.475
org.jsoup.nodes.Document,0.45999999999999996
org.apache.commons.io.output.StringBuilderWriter,0.45500000000000007
org.apache.commons.text.beta.ExtendedMessageFormat,0.445
org.apache.commons.io.input.NullReader,0.4325
com.google.inject.internal.UntargettedBindingImpl,0.43000000000000005
com.google.inject.internal.Errors,0.4175000000000001
org.jsoup.parser.Tag,0.4125000000000001
org.jsoup.parser.TokenQueue,0.4074999999999999
org.jsoup.nodes.Entities,0.39999999999999997
org.apache.commons.io.input.NullInputStream,0.3950000000000001
org.apache.commons.io.input.CharSequenceReader,0.395
com.google.inject.internal.SpiUtils,0.3875
com.google.inject.AbstractModule,0.38250000000000006
org.apache.commons.io.output.ThresholdingOutputStream,0.3275
org.apache.commons.csv.Token,0.32
com.google.inject.spi.DefaultElementVisitor,0.30999999999999994
org.jsoup.parser.ParseError,0.2899999999999999
com.google.inject.spi.DefaultBindingTargetVisitor,0.28750000000000003
com.google.inject.internal.InternalInjectorCreator,0.2875
com.google.inject.multibindings.Multibinder,0.27749999999999997
com.google.inject.internal.InterceptorStackCallback,0.26499999999999996
org.jsoup.nodes.TextNode,0.2625
com.google.inject.internal.Indexer,0.25999999999999995
org.jsoup.nodes.Element,0.25749999999999995
com.google.inject.Asserts,0.24250000000000002
org.apache.commons.io.input.ProxyReader,0.1925
com.google.inject.Scopes,0.19
org.jsoup.parser.Parser,0.18000000000000002
org.apache.commons.io.FileUtils,0.17499999999999996
org.apache.commons.io.input.Tailer,0.16999999999999998
org.apache.commons.io.FilenameUtils,0.165
org.apache.commons.csv.CSVRecord,0.16499999999999998
org.apache.commons.io.monitor.FileEntry,0.135
org.apache.commons.io.EndianUtils,0.13499999999999995
org.apache.commons.io.CopyUtils,0.1275
org.apache.commons.io.filefilter.FileFilterUtils,0.1275
org.jsoup.Jsoup,0.11250000000000002
org.jsoup.helper.HttpConnection,0.09750000000000003
org.apache.commons.io.output.LockableFileWriter,0.08750000000000001
org.apache.commons.text.beta.StrBuilder,0.08750000000000001
org.apache.commons.io.IOCase,0.0875
org.apache.commons.io.IOUtils,0.08
com.google.inject.internal.State,0.07750000000000001
com.google.inject.PrivateModule,0.07000000000000002
org.jsoup.select.Elements,0.06750000000000002
org.apache.commons.io.input.SwappedDataInputStream,0.04500000000000002
org.apache.commons.text.beta.StringEscapeUtils,0.04250000000000002
org.apache.commons.io.input.BoundedInputStream,0.01
